Employee ID;Full Name;Job Title;Department;Business Unit;Gender;Ethnicity;Age;Hire Date;Annual Salary;Bonus %;Country;City;Exit Date;Latitude;Longitude
E00102;Riley Rojas;Network Architect;IT;Speciality Products;Female;Latino;36;21/01/2021;90333;0;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00103;Nora Park;Director;Accounting;Speciality Products;Female;Asian;29;28/06/2017;197649;0.2;United States;Columbus;;39.9828348;-83.1556352
E00105;Isla Espinoza;Manager;Accounting;Speciality Products;Female;Latino;38;16/11/2021;109812;0.09;Brazil;Manaus;;-3.0446589;-60.0495051
E00116;Madelyn Mehta;Analyst;Sales;Speciality Products;Female;Asian;64;28/01/2005;55369;0;United States;Phoenix;;33.6049778;-112.4546902
E00119;Jack Maldonado;Director;Engineering;Research & Development;Male;Latino;31;26/08/2020;189290;0.22;Brazil;Sao Paulo;25/09/2020;-23.6820636;-46.9249441
E00126;Isabella Scott;Network Administrator;IT;Research & Development;Female;Caucasian;58;26/04/2016;72045;0;United States;Phoenix;;33.6049778;-112.4546902
E00128;Everleigh Espinoza;Director;Human Resources;Manufacturing;Female;Latino;54;22/01/2018;176294;0.28;United States;Austin;;30.3076576;-97.9205502
E00130;Paisley Kang;System Administrator;Human Resources;Corporate;Female;Asian;61;10/03/2017;196951;0.33;China;Beijing;;39.9384171;116.0678242
E00144;Theodore Ngo;Controls Engineer;Engineering;Research & Development;Male;Asian;55;29/04/2018;83378;0;China;Beijing;;39.9384171;116.0678242
E00145;Alexander Rivera;Senior Analyst;Sales;Research & Development;Male;Latino;58;27/04/2009;76802;0;Brazil;Manaus;;-3.0446589;-60.0495051
E00145;Kinsley Dixon;Analyst;Accounting;Manufacturing;Female;Caucasian;28;25/05/2019;45819;0;United States;Miami;;25.7823843;-80.3118592
E00153;Claire Jones;Field Engineer;Engineering;Corporate;Female;Caucasian;39;12/03/2019;62644;0;United States;Seattle;;47.606209;-122.332069
E00154;Wyatt Chin;System Administrator;Engineering;Speciality Products;Male;Asian;43;07/06/2004;246231;0.31;United States;Seattle;;47.606209;-122.332069
E00156;Madelyn Scott;Senior Manager;IT;Research & Development;Female;Caucasian;46;09/01/2002;148035;0.14;United States;Phoenix;;33.6049778;-112.4546902
E00161;Ryan Ha;System Administrator;Marketing;Corporate;Male;Asian;60;27/01/2007;234311;0.37;United States;Miami;;25.7823843;-80.3118592
E00163;Bella Powell;Director;Finance;Research & Development;Female;Black;65;04/03/2002;175837;0.2;United States;Phoenix;;33.6049778;-112.4546902
E00170;Hannah Nelson;Senior Analyst;Marketing;Speciality Products;Female;Caucasian;35;07/09/2019;70992;0;United States;Austin;;30.3076576;-97.9205502
E00170;Claire Adams;Director;Sales;Manufacturing;Female;Black;61;19/08/1997;159567;0.28;United States;Phoenix;;33.6049778;-112.4546902
E00178;Harper Alexander;Senior Analyst;Sales;Speciality Products;Female;Caucasian;26;14/10/2019;79356;0;United States;Phoenix;;33.6049778;-112.4546902
E00181;Genesis Hu;Senior Analyst;Marketing;Corporate;Female;Asian;46;15/01/2002;86510;0;China;Beijing;02/01/2003;39.9384171;116.0678242
E00184;Kayden Ortega;Analyst;Accounting;Manufacturing;Male;Latino;58;19/04/2010;56350;0;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00187;Miles Mehta;Director;Finance;Research & Development;Male;Asian;64;02/05/1996;189933;0.23;United States;Miami;;25.7823843;-80.3118592
E00203;Julia Doan;Business Partner;Human Resources;Speciality Products;Female;Asian;53;07/09/2017;46727;0;United States;Columbus;31/05/2018;39.9828348;-83.1556352
E00206;Theodore Xi;Manager;Finance;Corporate;Male;Asian;52;05/10/2009;122890;0.07;China;Shanghai;;31.2239286;121.147112
E00207;Hailey Lai;System Administrator;Human Resources;Manufacturing;Female;Asian;52;23/07/2012;187048;0.32;China;Chengdu;;30.6584246;103.9107386
E00218;David Desai;System Administrator;Sales;Speciality Products;Male;Asian;47;22/11/2016;253249;0.31;United States;Austin;;30.3076576;-97.9205502
E00225;Angel Delgado;Director;Finance;Corporate;Male;Latino;31;10/08/2017;156931;0.28;United States;Seattle;;47.606209;-122.332069
E00233;Brooklyn Reyes;Service Desk Analyst;IT;Manufacturing;Female;Latino;36;19/12/2019;91954;0;United States;Columbus;;39.9828348;-83.1556352
E00245;Benjamin Delgado;Test Engineer;Engineering;Corporate;Male;Latino;64;28/09/1992;70778;0;United States;Austin;;30.3076576;-97.9205502
E00245;Lucas Daniels;Manager;Sales;Corporate;Male;Black;42;29/05/2011;102440;0.06;United States;Chicago;;41.8336152;-87.8967698
E00254;Samuel Morales;Analyst II;Finance;Corporate;Male;Latino;34;27/06/2015;57008;0;United States;Phoenix;;33.6049778;-112.4546902
E00265;Mila Vasquez;Quality Engineer;Engineering;Manufacturing;Female;Latino;60;16/07/1998;92932;0;United States;Columbus;;39.9828348;-83.1556352
E00268;Ian Flores;Director;Engineering;Corporate;Male;Latino;48;10/12/2019;183113;0.24;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00273;David Owens;Senior Analyst;Sales;Corporate;Male;Black;43;16/04/2004;94246;0;United States;Austin;;30.3076576;-97.9205502
E00276;Ezekiel Jordan;Senior Manager;Accounting;Corporate;Male;Caucasian;33;10/02/2013;144231;0.14;United States;Columbus;17/07/2020;39.9828348;-83.1556352
E00276;Kennedy Romero;Engineering Manager;Engineering;Research & Development;Female;Latino;37;27/12/2018;87359;0.11;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00276;Alexander Jackson;Manager;Human Resources;Corporate;Male;Caucasian;45;09/07/2012;109883;0.07;United States;Columbus;;39.9828348;-83.1556352
E00282;Jeremiah Castillo;Analyst II;Accounting;Research & Development;Male;Latino;58;12/04/2006;64202;0;United States;Columbus;;39.9828348;-83.1556352
E00287;Luca Nelson;Manager;Finance;Speciality Products;Male;Caucasian;60;15/06/2010;106578;0.09;United States;Miami;;25.7823843;-80.3118592
E00287;Maverick Figueroa;IT Systems Architect;IT;Corporate;Male;Latino;48;06/07/2008;94815;0;United States;Chicago;;41.8336152;-87.8967698
E00304;Dylan Choi;System Administrator;IT;Corporate;Male;Asian;63;11/05/2012;231141;0.34;China;Beijing;;39.9384171;116.0678242
E00306;Mateo Williams;Enterprise Architect;IT;Manufacturing;Male;Caucasian;40;22/01/2011;97339;0;United States;Austin;;30.3076576;-97.9205502
E00306;Piper Patterson;Quality Engineer;Engineering;Corporate;Female;Caucasian;45;19/06/2019;88045;0;United States;Chicago;;41.8336152;-87.8967698
E00311;Scarlett Figueroa;Business Partner;Human Resources;Speciality Products;Female;Latino;34;21/10/2016;52811;0;United States;Miami;;25.7823843;-80.3118592
E00319;Ezra Wilson;Service Desk Analyst;IT;Manufacturing;Male;Caucasian;55;18/10/2013;70334;0;United States;Miami;;25.7823843;-80.3118592
E00324;Hailey Song;Manager;Finance;Research & Development;Female;Asian;37;23/08/2016;124928;0.06;China;Chongqing;;29.5548108;106.3837459
E00325;Jameson Chen;System Administrator;Marketing;Research & Development;Male;Asian;39;05/12/2019;254057;0.39;China;Shanghai;;31.2239286;121.147112
E00340;Eliana Allen;Business Partner;Human Resources;Research & Development;Female;Caucasian;56;20/08/2009;52800;0;United States;Phoenix;;33.6049778;-112.4546902
E00342;Wesley Doan;Manager;Finance;Corporate;Male;Asian;63;19/04/2004;122487;0.08;China;Shanghai;;31.2239286;121.147112
E00344;Savannah He;Director;IT;Research & Development;Female;Asian;52;14/02/1996;159724;0.23;China;Beijing;;39.9384171;116.0678242
E00359;Logan Carrillo;Senior Analyst;Marketing;Research & Development;Male;Latino;33;30/11/2014;91280;0;United States;Miami;;25.7823843;-80.3118592
E00360;Dylan Thao;Director;Engineering;Manufacturing;Male;Asian;53;22/10/2012;168510;0.29;United States;Seattle;;47.606209;-122.332069
E00364;Matthew Howard;Director;Human Resources;Manufacturing;Male;Caucasian;50;17/10/2021;172180;0.3;United States;Columbus;;39.9828348;-83.1556352
E00365;Jonathan Patel;Manager;Marketing;Corporate;Male;Asian;28;02/02/2020;115417;0.06;China;Shanghai;;31.2239286;121.147112
E00369;Genesis Woods;Manager;Human Resources;Speciality Products;Female;Black;33;21/08/2013;105390;0.06;United States;Columbus;;39.9828348;-83.1556352
E00371;Melody Grant;Quality Engineer;Engineering;Corporate;Female;Caucasian;41;07/10/2005;79352;0;United States;Seattle;;47.606209;-122.332069
E00380;Alice Thompson;System Administrator;Accounting;Speciality Products;Female;Caucasian;48;25/04/2007;217783;0.36;United States;Seattle;;47.606209;-122.332069
E00386;Parker James;Quality Engineer;Engineering;Speciality Products;Male;Black;45;05/02/2005;70505;0;United States;Austin;;30.3076576;-97.9205502
E00399;Connor Walker;Analyst II;Finance;Manufacturing;Male;Caucasian;30;18/03/2019;54714;0;United States;Columbus;;39.9828348;-83.1556352
E00401;Wesley Adams;System Administrator;IT;Corporate;Male;Caucasian;48;11/08/2003;93017;0;United States;Seattle;;47.606209;-122.332069
E00402;Dominic Guzman;Analyst;Finance;Manufacturing;Male;Latino;65;16/05/2004;55499;0;Brazil;Manaus;;-3.0446589;-60.0495051
E00403;Liliana Soto;Business Partner;Human Resources;Manufacturing;Female;Latino;58;12/10/2010;43001;0;United States;Austin;;30.3076576;-97.9205502
E00412;Ezra Banks;Analyst II;Sales;Research & Development;Male;Caucasian;37;23/04/2010;57531;0;United States;Chicago;;41.8336152;-87.8967698
E00415;Leilani Butler;Analyst II;Marketing;Manufacturing;Female;Black;27;21/09/2021;68728;0;United States;Phoenix;;33.6049778;-112.4546902
E00416;Everleigh Fernandez;Director;Engineering;Research & Development;Female;Latino;30;22/05/2016;189702;0.28;Brazil;Manaus;21/12/2020;-3.0446589;-60.0495051
E00417;Athena Carrillo;Analyst II;Finance;Speciality Products;Female;Latino;39;06/04/2006;71531;0;United States;Columbus;;39.9828348;-83.1556352
E00422;Jade Acosta;Development Engineer;Engineering;Research & Development;Female;Latino;47;29/08/2015;68488;0;United States;Seattle;;47.606209;-122.332069
E00431;Eliza Hernandez;Network Architect;IT;Corporate;Female;Latino;48;04/07/2019;76588;0;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00431;Skylar Doan;Senior Business Partner;Human Resources;Research & Development;Female;Asian;58;21/08/1994;93102;0;United States;Seattle;13/12/2013;47.606209;-122.332069
E00432;Eli Gupta;Director;Human Resources;Research & Development;Male;Asian;37;19/05/2012;160280;0.19;China;Beijing;;39.9384171;116.0678242
E00436;Everly Walker;HRIS Analyst;Human Resources;Speciality Products;Female;Caucasian;41;23/10/2009;54415;0;United States;Seattle;22/01/2014;47.606209;-122.332069
E00436;Lincoln Reyes;Computer Systems Manager;IT;Manufacturing;Male;Latino;60;03/08/1998;85120;0.09;United States;Seattle;;47.606209;-122.332069
E00440;Jack Huynh;Manager;Marketing;Research & Development;Male;Asian;27;25/09/2018;114441;0.1;China;Chongqing;22/12/2019;29.5548108;106.3837459
E00440;Adeline Thao;System Administrator;Finance;Corporate;Female;Asian;54;05/09/2007;183239;0.32;United States;Seattle;;47.606209;-122.332069
E00443;Nolan Bui;Computer Systems Manager;IT;Research & Development;Male;Asian;28;26/05/2020;67925;0.08;China;Shanghai;;31.2239286;121.147112
E00446;Isaac Han;System Administrator;Human Resources;Speciality Products;Male;Asian;31;14/01/2015;230025;0.34;United States;Phoenix;;33.6049778;-112.4546902
E00446;Hudson Hill;Senior Analyst;Sales;Research & Development;Male;Caucasian;30;04/11/2019;96092;0;United States;Austin;;30.3076576;-97.9205502
E00447;Hailey Sanchez;System Administrator;Marketing;Corporate;Female;Latino;32;05/02/2014;203445;0.34;Brazil;Manaus;;-3.0446589;-60.0495051
E00459;Jackson Jordan;Business Partner;Human Resources;Research & Development;Male;Black;48;21/09/2020;54654;0;United States;Phoenix;;33.6049778;-112.4546902
E00465;Dominic Parker;Test Engineer;Engineering;Research & Development;Male;Caucasian;62;04/10/2011;63959;0;United States;Seattle;;47.606209;-122.332069
E00465;Brooklyn Cho;Technical Architect;IT;Manufacturing;Female;Asian;45;08/07/2002;92655;0;China;Chengdu;;30.6584246;103.9107386
E00467;Sofia Dinh;Operations Engineer;Engineering;Corporate;Female;Asian;55;04/08/1995;80701;0;United States;Chicago;14/04/2005;41.8336152;-87.8967698
E00480;Hadley Yee;Business Partner;Human Resources;Speciality Products;Female;Asian;31;12/03/2018;47913;0;United States;Seattle;;47.606209;-122.332069
E00481;Jameson Nelson;Network Architect;IT;Research & Development;Male;Caucasian;61;08/03/2016;96566;0;United States;Columbus;;39.9828348;-83.1556352
E00488;Emery Hunter;Senior Analyst;Sales;Corporate;Female;Caucasian;28;03/07/2021;82739;0;United States;Phoenix;;33.6049778;-112.4546902
E00494;Robert Alvarez;Service Desk Analyst;IT;Corporate;Male;Latino;39;21/10/2016;84297;0;Brazil;Manaus;;-3.0446589;-60.0495051
E00500;Henry Shah;Director;Accounting;Manufacturing;Male;Asian;55;11/06/2010;187389;0.25;China;Chengdu;;30.6584246;103.9107386
E00501;Melody Ho;Analyst II;Finance;Research & Development;Female;Asian;55;02/12/2007;64494;0;United States;Columbus;;39.9828348;-83.1556352
E00502;Natalia Salazar;Senior Analyst;Accounting;Manufacturing;Female;Latino;44;02/01/2019;74691;0;Brazil;Manaus;08/07/2020;-3.0446589;-60.0495051
E00503;Leah Patterson;Manager;Human Resources;Research & Development;Female;Caucasian;33;11/06/2012;118253;0.08;United States;Austin;;30.3076576;-97.9205502
E00508;Thomas Jung;Senior Analyst;Accounting;Research & Development;Male;Asian;50;23/10/2009;79447;0;China;Shanghai;;31.2239286;121.147112
E00515;Joseph Vazquez;Senior Manager;Accounting;Speciality Products;Male;Latino;40;23/01/2019;159031;0.1;United States;Miami;;25.7823843;-80.3118592
E00518;Lydia Morales;Manager;Finance;Speciality Products;Female;Latino;51;14/06/2013;108221;0.05;Brazil;Manaus;;-3.0446589;-60.0495051
E00521;Lily Carter;Network Architect;IT;Research & Development;Female;Caucasian;54;18/05/1998;68268;0;United States;Phoenix;;33.6049778;-112.4546902
E00523;Daniel Jordan;Network Administrator;IT;Corporate;Male;Caucasian;58;26/07/1993;69260;0;United States;Phoenix;;33.6049778;-112.4546902
E00527;Mateo Chu;Field Engineer;Engineering;Speciality Products;Male;Asian;27;16/04/2020;71864;0;China;Chengdu;;30.6584246;103.9107386
E00530;Eli Jones;Manager;Human Resources;Manufacturing;Male;Caucasian;59;14/03/1999;105086;0.09;United States;Austin;;30.3076576;-97.9205502
E00530;Naomi Chu;Senior Manager;Sales;Manufacturing;Female;Asian;46;29/02/2004;158897;0.1;China;Chongqing;;29.5548108;106.3837459
E00535;Nathan Mendez;Manager;IT;Speciality Products;Male;Latino;53;31/10/2006;120128;0.1;United States;Austin;;30.3076576;-97.9205502
E00538;Caleb Xiong;Senior Account Representative;Sales;Corporate;Male;Asian;38;28/11/2011;74010;0;United States;Chicago;;41.8336152;-87.8967698
E00549;Isabella Xi;System Administrator;Marketing;Research & Development;Female;Asian;41;13/03/2013;249270;0.3;United States;Seattle;;47.606209;-122.332069
E00553;Isla Yoon;Quality Engineer;Engineering;Research & Development;Female;Asian;50;10/05/2013;79388;0;United States;Austin;04/08/2019;30.3076576;-97.9205502
E00555;Christian Ali;Analyst II;Marketing;Research & Development;Male;Asian;65;17/10/2001;74631;0;China;Chongqing;;29.5548108;106.3837459
E00555;Sofia Trinh;Network Architect;IT;Speciality Products;Female;Asian;45;18/12/2006;68337;0;China;Chongqing;;29.5548108;106.3837459
E00556;Grayson Walker;Director;Accounting;Manufacturing;Male;Caucasian;29;19/02/2017;181854;0.29;United States;Seattle;24/04/2020;47.606209;-122.332069
E00559;Penelope Silva;Network Architect;IT;Speciality Products;Female;Latino;36;03/11/2016;94618;0;United States;Columbus;;39.9828348;-83.1556352
E00568;Ava Garza;Director;Accounting;Manufacturing;Female;Latino;27;25/06/2018;174097;0.21;United States;Phoenix;;33.6049778;-112.4546902
E00568;Ian Vargas;Analyst;Sales;Manufacturing;Male;Latino;26;02/03/2021;44732;0;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00577;Nora Nunez;Analyst II;Finance;Research & Development;Female;Latino;45;06/08/2012;58586;0;Brazil;Sao Paulo;;-23.6820636;-46.9249441
E00586;Sadie Washington;Senior Manager;Marketing;Research & Development;Female;Caucasian;29;24/05/2019;122350;0.12;United States;Phoenix;;33.6049778;-112.4546902
E00591;Savannah Ali;Senior Manager;Human Resources;Manufacturing;Female;Asian;36;11/02/2009;157333;0.15;United States;Miami;;25.7823843;-80.3118592
E00592;Josephine Richardson;System Administrator;IT;Manufacturing;Female;Caucasian;57;18/02/1996;75354;0;United States;Austin;14/12/1996;30.3076576;-97.9205502
E00593;Luke Wilson;Solutions Architect;IT;Speciality Products;Male;Caucasian;34;24/05/2016;94352;0;United States;Miami;;25.7823843;-80.3118592
E00595;Everly Chow;Senior Manager;Finance;Speciality Products;Female;Asian;33;21/04/2018;140402;0.15;China;Beijing;;39.9384171;116.0678242
E00605;Nova Williams;Manager;Finance;Speciality Products;Female;Black;61;25/04/2010;110302;0.06;United States;Miami;;25.7823843;-80.3118592
E00607;Jameson Allen;Director;Marketing;Speciality Products;Male;Caucasian;32;28/11/2016;177443;0.16;United States;Seattle;;47.606209;-122.332069
E00608;Olivia Campbell;Development Engineer;Engineering;Manufacturing;Female;Asian;29;09/11/2019;75012;0;United States;Chicago;;41.8336152;-87.8967698
E00624;William Watson;Director;Accounting;Speciality Products;Male;Caucasian;41;04/06/2013;167526;0.26;United States;Miami;;25.7823843;-80.3118592
E00626;Luna Simmons;Senior Analyst;Finance;Corporate;Female;Caucasian;28;04/09/2020;95045;0;United States;Chicago;;41.8336152;-87.8967698
E00632;Angel Chang;Network Architect;IT;Research & Development;Male;Asian;37;06/07/2017;96331;0;China;Shanghai;;31.2239286;121.147112
E00634;Samantha Chavez;Senior Analyst;Sales;Speciality Products;Female;Latino;53;09/01/2017;75769;0;Brazil;Manaus;17/07/2020;-3.0446589;-60.0495051
E00638;David Simmons;Manager;Marketing;Corporate;Male;Caucasian;51;26/01/1997;104431;0.07;United States;Phoenix;;33.6049778;-112.4546902
E00639;Benjamin Mai;System Administrator;IT;Corporate;Male;Asian;54;15/06/1998;95239;0;United States;Phoenix;;33.6049778;-112.4546902
E00640;Paisley Bryant;Cloud Infrastructure Architect;IT;Manufacturing;Female;Black;37;27/04/2016;91400;0;United States;Chicago;;41.8336152;-87.8967698
E00644;Joshua Gupta;Account Representative;Sales;Corporate;Male;Asian;57;24/01/2017;50994;0;China;Chongqing;;29.5548108;106.3837459
E00646;Benjamin Parker;Analyst;Accounting;Speciality Products;Male;Caucasian;49;17/12/2011;56878;0;United States;Seattle;;47.606209;-122.332069
E00647;Dylan Ali;Senior Manager;Human Resources;Speciality Products;Male;Asian;27;16/04/2021;133400;0.11;United States;Phoenix;;33.6049778;-112.4546902
E00647;Emily Gupta;HRIS Analyst;Human Resources;Corporate;Female;Asian;44;23/02/2006;63705;0;United States;Miami;;25.7823843;-80.3118592
E00650;Emery Chang;Business Partner;Human Resources;Research & Development;Female;Asian;45;17/08/2000;55563;0;China;Chengdu;;30.6584246;103.9107386
E00665;David Chu;Controls Engineer;Engineering;Corporate;Male;Asian;55;03/09/1998;86299;0;United States;Seattle;;47.606209;-122.332069
E00667;Skylar Shah;Field Engineer;Engineering;Manufacturing;Female;Asian;42;27/04/2012;72903;0;United States;Phoenix;;33.6049778;-112.4546902
E00671;Leonardo Dixon;Analyst;Sales;Speciality Products;Male;Caucasian;37;05/09/2019;49998;0;United States;Seattle;;47.606209;-122.332069
E00671;Miles Cho;Systems Analyst;IT;Speciality Products;Male;Asian;47;10/03/1999;49404;0;China;Beijing;;39.9384171;116.0678242
E00672;Mila Pena;Senior Business Partner;Human Resources;Manufacturing;Female;Latino;45;21/12/2007;93840;0;Brazil;Manaus;;-3.0446589;-60.0495051
E00672;Landon Luu;System Administrator;IT;Research & Development;Male;Asian;31;12/07/2015;215388;0.33;United States;Miami;;25.7823843;-80.3118592
E00676;Isaac Yoon;Manager;Human Resources;Corporate;Male;Asian;41;06/02/2019;126950;0.1;United States;Chicago;;41.8336152;-87.8967698
E00682;Sofia Fernandez;Manager;Accounting;Manufacturing;Female;Latino;44;17/10/2005;105223;0.1;United States;Phoenix;;33.6049778;-112.4546902
E00691;Ezekiel Desai;Director;Finance;Research & Development;Male;Asian;42;15/01/2003;166599;0.26;United States;Seattle;;47.606209;-122.332069
E00691;Avery Yee;Systems Analyst;IT;Manufacturing;Female;Asian;34;22/05/2016;44614;0;United States;Miami;;25.7823843;-80.3118592
E00697;Jonathan Chavez;System Administrator;IT;Manufacturing;Male;Latino;29;11/05/2017;87536;0;United States;Seattle;;47.606209;-122.332069
E00699;Ava Ayala;Senior Manager;IT;Corporate;Female;Latino;55;16/08/2006;159044;0.1;Brazil;Manaus;;-3.0446589;-60.0495051
E00701;Madeline Garcia;Senior Business Partner;Human Resources;Speciality Products;Female;Latino;45;26/04/2019;74891;0;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00702;Nathan Pham;Senior Manager;Accounting;Manufacturing;Male;Asian;45;12/12/2006;149537;0.14;United States;Seattle;;47.606209;-122.332069
E00703;Wesley Dominguez;Engineering Manager;Engineering;Corporate;Male;Latino;45;27/04/2018;115490;0.12;United States;Chicago;;41.8336152;-87.8967698
E00711;Melody Chin;Senior Manager;Finance;Corporate;Female;Asian;43;15/10/2006;153492;0.11;United States;Chicago;;41.8336152;-87.8967698
E00715;Elijah Kang;System Administrator;Engineering;Manufacturing;Male;Asian;35;10/10/2011;245482;0.39;United States;Seattle;;47.606209;-122.332069
E00716;John Chow;Senior Manager;Marketing;Research & Development;Male;Asian;45;11/03/2021;135062;0.15;China;Chengdu;;30.6584246;103.9107386
E00717;Kennedy Vargas;Business Partner;Human Resources;Manufacturing;Female;Latino;45;14/10/2005;51404;0;Brazil;Manaus;06/12/2009;-3.0446589;-60.0495051
E00717;Axel Santos;Senior Analyst;Accounting;Speciality Products;Male;Latino;62;17/02/2011;94422;0;United States;Phoenix;;33.6049778;-112.4546902
E00717;Madelyn Chan;Manager;Sales;Speciality Products;Female;Asian;64;21/05/2003;106444;0.05;United States;Phoenix;;33.6049778;-112.4546902
E00725;Nova Herrera;Account Representative;Sales;Speciality Products;Female;Latino;45;10/05/2014;65047;0;Brazil;Sao Paulo;;-23.6820636;-46.9249441
E00742;Cooper Mitchell;Manager;Sales;Speciality Products;Male;Caucasian;43;31/01/2006;117518;0.07;United States;Seattle;;47.606209;-122.332069
E00747;Leilani Baker;Technical Architect;IT;Speciality Products;Female;Caucasian;59;04/04/2010;76027;0;United States;Seattle;;47.606209;-122.332069
E00749;Valentina Moua;Account Representative;Sales;Manufacturing;Female;Asian;37;10/11/2015;64204;0;United States;Columbus;20/04/2021;39.9828348;-83.1556352
E00752;Luna Liu;System Administrator;Sales;Manufacturing;Female;Asian;36;22/02/2014;218530;0.3;China;Shanghai;;31.2239286;121.147112
E00758;Jonathan Khan;Account Representative;Sales;Manufacturing;Male;Asian;35;30/08/2013;59646;0;China;Shanghai;;31.2239286;121.147112
E00758;Alice Roberts;Director;Human Resources;Manufacturing;Female;Caucasian;54;26/09/1994;162978;0.17;United States;Miami;24/05/2004;25.7823843;-80.3118592
E00769;Jose Kang;Engineering Manager;Engineering;Corporate;Male;Asian;57;25/04/1999;95061;0.1;China;Shanghai;;31.2239286;121.147112
E00784;Ella Nguyen;Service Desk Analyst;IT;Corporate;Female;Asian;60;10/02/2004;90258;0;China;Chongqing;;29.5548108;106.3837459
E00785;Hannah Hoang;Manager;Accounting;Speciality Products;Female;Asian;25;15/12/2021;114893;0.06;China;Chengdu;;30.6584246;103.9107386
E00788;Emily Contreras;Analyst II;Sales;Manufacturing;Female;Latino;56;15/06/1992;59591;0;Brazil;Sao Paulo;;-23.6820636;-46.9249441
E00791;Thomas Padilla;System Administrator;Marketing;Research & Development;Male;Latino;57;26/07/2003;206624;0.4;Brazil;Sao Paulo;;-23.6820636;-46.9249441
E00810;Hunter Nunez;System Administrator;Human Resources;Corporate;Male;Latino;62;16/08/2002;234594;0.33;United States;Seattle;;47.606209;-122.332069
E00813;Autumn Joseph;Enterprise Architect;IT;Corporate;Female;Black;39;09/05/2018;73317;0;United States;Miami;;25.7823843;-80.3118592
E00816;Skylar Watson;Network Architect;IT;Speciality Products;Female;Caucasian;28;08/10/2021;64475;0;United States;Phoenix;;33.6049778;-112.4546902
E00824;Everleigh Adams;Analyst II;Marketing;Manufacturing;Female;Caucasian;33;14/03/2020;68846;0;United States;Chicago;;41.8336152;-87.8967698
E00825;Anna Molina;Senior Analyst;Accounting;Corporate;Female;Latino;41;12/06/2016;70165;0;United States;Columbus;;39.9828348;-83.1556352
E00826;Rylee Bui;Analyst;Accounting;Corporate;Female;Asian;55;22/12/2011;54733;0;China;Chongqing;;29.5548108;106.3837459
E00834;Vivian Guzman;Analyst II;Finance;Speciality Products;Female;Latino;53;09/02/2002;58605;0;United States;Phoenix;;33.6049778;-112.4546902
E00836;Addison Roberts;Network Architect;IT;Manufacturing;Female;Caucasian;65;14/05/2018;60985;0;United States;Seattle;;47.606209;-122.332069
E00836;Wesley King;Manager;Accounting;Manufacturing;Male;Caucasian;57;19/01/2019;101577;0.05;United States;Chicago;;41.8336152;-87.8967698
